Gene,Inheritance,Molecular_disease_mechanism,Protein_functional_class
ABCA1,AR,AR,Transporter
ABCG5,AR,AR,Transporter
ABCG8,AR,AR,Transporter
ACAD8,AR,AR,Oxidoreductase
ACAD8,AR,AR,Transferase
ACADM,AR,AR,Oxidoreductase
ACADM,AR,AR,Transferase
ACADS,AR,AR,Oxidoreductase
ACADS,AR,AR,Transferase
ACADSB,AR,AR,Oxidoreductase
ACADSB,AR,AR,Transferase
ACADVL,AR,AR,Oxidoreductase
ACADVL,AR,AR,Transferase
ACAT1,AR,AR,Transferase
ACE,AR,AR,Hydrolase
ACE,AR,AR,Protease
ACP5,AR,AR,Hydrolase
ACP5,AR,AR,Phosphatase
ACVRL1,AD,HI,Kinase
ACVRL1,AD,HI,Receptor
ACVRL1,AD,HI,Transferase
ACY1,AR,AR,Hydrolase
ADAM22,AR,AR,Hydrolase
ADAM22,AR,AR,Protease
ADAMTS13,AR,AR,Enzyme Modulator
ADAMTS13,AR,AR,Extracellular Matrix Protein
ADAMTS13,AR,AR,Hydrolase
ADAMTS13,AR,AR,Protease
ADSL,AR,AR,Lyase
AGA,AR,AR,Hydrolase
AGA,AR,AR,Protease
AGT,AR,AR,Enzyme Modulator
AGXT,AR,AR,Transferase
AHCY,AR,AR,Hydrolase
AICDA,AR,AR,Hydrolase
AICDA,AR,AR,Nucleic Acid Binding
AK1,AR,AR,Kinase
AK1,AR,AR,Transferase
AK2,AR,AR,Kinase
AK2,AR,AR,Transferase
AKR1C2,AR,AR,Oxidoreductase
AKR1D1,AR,AR,Oxidoreductase
AKT3,AD,GOF,Calcium-Binding Protein
AKT3,AD,GOF,Kinase
AKT3,AD,GOF,Transfer/Carrier Protein
AKT3,AD,GOF,Transferase
ALAD,AR,AR,Hydrolase
ALAD,AR,AR,Lyase
ALAD,AR,AR,Protease
ALDH1A3,AR,AR,Oxidoreductase
ALDH3A2,AR,AR,Oxidoreductase
ALDH4A1,AR,AR,Oxidoreductase
ALDH5A1,AR,AR,Oxidoreductase
ALDH7A1,AR,AR,Oxidoreductase
ALDOB,AR,AR,Lyase
AMT,AR,AR,Transferase
ANK2,AD,HI,Cytoskeletal Protein
ANK2,AD,HI,Signaling Molecule
ANTXR2,AR,AR,Receptor
AP4M1,AR,AR,Extracellular Matrix Protein
AP4M1,AR,AR,Receptor
APC,AD,HI,Signaling Molecule
APRT,AR,AR,Transferase
ARG1,AR,AR,Hydrolase
ARHGDIA,AR,AR,Enzyme Modulator
ARHGDIA,AR,AR,Signaling Molecule
ARL6,AR,AR,Cytoskeletal Protein
ARL6,AR,AR,Enzyme Modulator
ARSB,AR,AR,Calcium-Binding Protein
ARSB,AR,AR,Enzyme Modulator
ARSB,AR,AR,Hydrolase
ASL,AR,AR,Lyase
ASPA,AR,AR,Hydrolase
ASPH,AR,AR,Oxidoreductase
ASS1,AR,AR,Ligase
ATG5,AR,AR,Membrane Traffic Protein
ATIC,AR,AR,Hydrolase
ATIC,AR,AR,Transferase
ATL1,AD,DN,Enzyme Modulator
ATL3,AD,DN,Enzyme Modulator
ATM,AR,AR,Kinase
ATM,AR,AR,Nucleic Acid Binding
ATM,AR,AR,Transferase
ATP7B,AR,AR,Hydrolase
ATP7B,AR,AR,Transporter
AUH,AR,AR,Isomerase
AUH,AR,AR,Ligase
AUH,AR,AR,Lyase
AUH,AR,AR,Oxidoreductase
AUH,AR,AR,Transferase
B3GAT3,AR,AR,Transferase
B4GALT7,AR,AR,Transferase
BANF1,AR,AR,Nucleic Acid Binding
BBS9,AR,AR,Membrane Traffic Protein
BCAT2,AR,AR,Transferase
BCKDHA,AR,AR,Oxidoreductase
BCKDHB,AR,AR,Lyase
BCKDHB,AR,AR,Oxidoreductase
BCKDHB,AR,AR,Transferase
BCL10,AR,AR,Defense/Immunity protein
BCL10,AR,AR,Enzyme Modulator
BIN1,AR,AR,Cytoskeletal Protein
BLM,AR,AR,Hydrolase
BLM,AR,AR,Nucleic Acid Binding
BMP1,AR,AR,Hydrolase
BMP1,AR,AR,Protease
BMPR1A,AD,HI,Kinase
BMPR1A,AD,HI,Receptor
BMPR1A,AD,HI,Transferase
BMPR2,AD,DN,Kinase
BMPR2,AD,DN,Receptor
BMPR2,AD,DN,Transferase
BOLA3,AR,AR,Nucleic Acid Binding
BOLA3,AR,AR,Transcription Factor
BPGM,AR,AR,Hydrolase
BPGM,AR,AR,Isomerase
BRAF,AD,GOF,Kinase
BRAF,AD,GOF,Transferase
BRCA1,AR,AR,Ligase
BRCA1,AR,AR,Nucleic Acid Binding
C1QB,AR,AR,Defense/Immunity protein
C1QBP,AR,AR,Defense/Immunity protein
C1QBP,AR,AR,Receptor
C1QBP,AR,AR,Transcription Factor
C1QC,AR,AR,Defense/Immunity protein
C1R,AD,GOF,Hydrolase
C1R,AD,GOF,Protease
C1S,AD,GOF,Hydrolase
C1S,AD,GOF,Protease
C3,AR,AR,Defense/Immunity protein
C3,AR,AR,Enzyme Modulator
C3,AR,AR,Signaling Molecule
CA12,AR,AR,Lyase
CA2,AR,AR,Lyase
CA8,AR,AR,Lyase
CACNA1A,AD,GOF,Transcription Factor
CAD,AR,AR,Hydrolase
CAD,AR,AR,Ligase
CAD,AR,AR,Protease
CAD,AR,AR,Transferase
CANT1,AR,AR,Hydrolase
CAPN1,AR,AR,Calcium-Binding Protein
CAPN1,AR,AR,Hydrolase
CAPN1,AR,AR,Protease
CASQ2,AR,AR,Transporter
CBS,AR,AR,Hydrolase
CBS,AR,AR,Isomerase
CBS,AR,AR,Lyase
CD247,AR,AR,Defense/Immunity protein
CD247,AR,AR,Receptor
CD27,AR,AR,Receptor
CD36,AR,AR,Receptor
CD40,AR,AR,Signaling Molecule
CD55,AR,AR,Receptor
CD59,AR,AR,Defense/Immunity protein
CD59,AR,AR,Receptor
CD59,AR,AR,Signaling Molecule
CD79B,AR,AR,Defense/Immunity protein
CD79B,AR,AR,Receptor
CD8A,AR,AR,Defense/Immunity protein
CD8A,AR,AR,Receptor
CD8A,AR,AR,Signaling Molecule
CDC42,AD,GOF,Enzyme Modulator
CDH1,AD,HI,Cell Adhesion Molecule
CDH3,AR,AR,Cell Adhesion Molecule
CDK6,AR,AR,Kinase
CDK6,AR,AR,Transferase
CENPE,AR,AR,Cytoskeletal Protein
CFB,AR,AR,Hydrolase
CFB,AR,AR,Protease
CFI,AR,AR,Defense/Immunity protein
CFI,AR,AR,Hydrolase
CFI,AR,AR,Protease
CFTR,AR,AR,Transporter
CHAT,AR,AR,Transferase
CHD7,AD,HI,Nucleic Acid Binding
CHKB,AR,AR,Kinase
CHKB,AR,AR,Transferase
CHN1,AD,GOF,Calcium-Binding Protein
CLPP,AR,AR,Hydrolase
CLPP,AR,AR,Protease
CNNM4,AR,AR,Transporter
COL1A1,AD,HI,Calcium-Binding Protein
COL1A1,AD,HI,Extracellular Matrix Protein
COL2A1,AD,DN,Extracellular Matrix Protein
COL2A1,AD,DN,Signaling Molecule
COLEC11,AR,AR,Defense/Immunity protein
COQ8A,AR,AR,Chaperone
COQ8A,AR,AR,Kinase
CP,AR,AR,Oxidoreductase
CPS1,AR,AR,Hydrolase
CPS1,AR,AR,Ligase
CPS1,AR,AR,Protease
CPS1,AR,AR,Transferase
CRADD,AR,AR,Signaling Molecule
CRBN,AR,AR,Hydrolase
CREBBP,AD,HI,Nucleic Acid Binding
CREBBP,AD,HI,Transcription Factor
CREBBP,AD,HI,Transferase
CSF2RB,AR,AR,Receptor
CSF3R,AR,AR,Defense/Immunity protein
CSF3R,AR,AR,Signaling Molecule
CSTB,AR,AR,Enzyme Modulator
CTH,AR,AR,Lyase
CTSC,AR,AR,Enzyme Modulator
CTSC,AR,AR,Hydrolase
CTSC,AR,AR,Protease
CTSD,AR,AR,Hydrolase
CTSD,AR,AR,Protease
CTSF,AR,AR,Enzyme Modulator
CTSF,AR,AR,Hydrolase
CTSF,AR,AR,Protease
CTSK,AR,AR,Enzyme Modulator
CTSK,AR,AR,Hydrolase
CTSK,AR,AR,Protease
CUBN,AR,AR,Calcium-Binding Protein
CUBN,AR,AR,Receptor
CUBN,AR,AR,Transporter
CYB5A,AR,AR,Oxidoreductase
CYB5R3,AR,AR,Oxidoreductase
CYBA,AR,AR,Oxidoreductase
CYC1,AR,AR,Oxidoreductase
CYC1,AR,AR,Transporter
CYP11B2,AR,AR,Oxidoreductase
CYP17A1,AR,AR,Lyase
CYP17A1,AR,AR,Oxidoreductase
CYP1B1,AR,AR,Oxidoreductase
CYP2R1,AR,AR,Oxidoreductase
DAG1,AR,AR,Receptor
DARS2,AR,AR,Ligase
DARS2,AR,AR,Nucleic Acid Binding
DBH,AR,AR,Oxidoreductase
DBT,AR,AR,Transferase
DCPS,AR,AR,Hydrolase
DDC,AR,AR,Lyase
DGUOK,AR,AR,Kinase
DGUOK,AR,AR,Transferase
DHFR,AR,AR,Oxidoreductase
DHH,AR,AR,Cell Junction Protein
DHH,AR,AR,Hydrolase
DHH,AR,AR,Protease
DHH,AR,AR,Signaling Molecule
DHODH,AR,AR,Oxidoreductase
DICER1,AD,HI,Nucleic Acid Binding
DLAT,AR,AR,Transferase
DLD,AR,AR,Oxidoreductase
DMGDH,AR,AR,Oxidoreductase
DNAJB2,AR,AR,Chaperone
DNAJC12,AR,AR,Chaperone
DNM1,AD,DN,Cytoskeletal Protein
DNM1,AD,DN,Enzyme Modulator
DNM1,AD,DN,Hydrolase
DNMT3A,AD,GOF,Nucleic Acid Binding
DNMT3A,AD,GOF,Transferase
DNMT3B,AR,AR,Nucleic Acid Binding
DNMT3B,AR,AR,Transferase
DPAGT1,AR,AR,Transferase
DPYS,AR,AR,Hydrolase
DPYS,AR,AR,Protease
DYSF,AR,AR,Membrane Traffic Protein
ECHS1,AR,AR,Isomerase
ECHS1,AR,AR,Ligase
ECHS1,AR,AR,Lyase
ECHS1,AR,AR,Oxidoreductase
ECHS1,AR,AR,Transferase
EDC3,AR,AR,Nucleic Acid Binding
EFEMP2,AR,AR,Calcium-Binding Protein
EFEMP2,AR,AR,Cell Adhesion Molecule
EFEMP2,AR,AR,Extracellular Matrix Protein
EFEMP2,AR,AR,Signaling Molecule
EFTUD2,AD,HI,Enzyme Modulator
EFTUD2,AD,HI,Hydrolase
EFTUD2,AD,HI,Nucleic Acid Binding
EGLN1,AD,GOF,Oxidoreductase
EHMT1,AD,HI,Enzyme Modulator
EHMT1,AD,HI,Transferase
EIF2AK3,AR,AR,Kinase
EIF2AK3,AR,AR,Transferase
EIF2B1,AR,AR,Nucleic Acid Binding
EIF2B5,AR,AR,Transcription Factor
EIF4A3,AR,AR,Hydrolase
EIF4A3,AR,AR,Nucleic Acid Binding
ELANE,AD,DN,Hydrolase
ELANE,AD,DN,Protease
EMG1,AR,AR,Nucleic Acid Binding
EML1,AR,AR,Cytoskeletal Protein
ENG,AD,HI,Extracellular Matrix Protein
ENG,AD,HI,Signaling Molecule
ENO3,AR,AR,Lyase
EP300,AD,HI,Nucleic Acid Binding
EP300,AD,HI,Transcription Factor
EP300,AD,HI,Transferase
EPCAM,AR,AR,Cell Adhesion Molecule
EPCAM,AR,AR,Signaling Molecule
ERBB3,AR,AR,Kinase
ERBB3,AR,AR,Receptor
ERBB3,AR,AR,Transferase
ERCC1,AR,AR,Nucleic Acid Binding
ERCC2,AR,AR,Nucleic Acid Binding
ERCC3,AR,AR,Hydrolase
ERCC3,AR,AR,Nucleic Acid Binding
ERCC8,AR,AR,Nucleic Acid Binding
ERCC8,AR,AR,Transcription Factor
ESR1,AR,AR,Nucleic Acid Binding
ESR1,AR,AR,Receptor
ESR1,AR,AR,Transcription Factor
ESRRB,AR,AR,Nucleic Acid Binding
ESRRB,AR,AR,Receptor
ESRRB,AR,AR,Transcription Factor
ETFA,AR,AR,Oxidoreductase
ETFA,AR,AR,Transferase
ETFB,AR,AR,Oxidoreductase
ETHE1,AR,AR,Hydrolase
ETV6,AD,DN,Nucleic Acid Binding
ETV6,AD,DN,Signaling Molecule
ETV6,AD,DN,Transcription Factor
EXOSC2,AR,AR,Hydrolase
EXOSC2,AR,AR,Nucleic Acid Binding
EXOSC3,AR,AR,Hydrolase
EXOSC3,AR,AR,Nucleic Acid Binding
F10,AR,AR,Hydrolase
F10,AR,AR,Protease
F13A1,AR,AR,Transferase
F7,AR,AR,Hydrolase
F7,AR,AR,Protease
FADD,AR,AR,Defense/Immunity protein
FADD,AR,AR,Receptor
FADD,AR,AR,Signaling Molecule
FAM126A,AR,AR,Signaling Molecule
FAN1,AR,AR,Hydrolase
FAN1,AR,AR,Nucleic Acid Binding
FANCE,AR,AR,Nucleic Acid Binding
FARS2,AR,AR,Ligase
FAS,AD,DN,Receptor
FBN1,AD,HI,Calcium-Binding Protein
FBN1,AD,HI,Cell Adhesion Molecule
FBN1,AD,HI,Extracellular Matrix Protein
FBN1,AD,HI,Signaling Molecule
FBP1,AR,AR,Hydrolase
FBP1,AR,AR,Phosphatase
FECH,AR,AR,Lyase
FGB,AR,AR,Signaling Molecule
FGF10,AD,HI,Signaling Molecule
FGF12,AD,GOF,Signaling Molecule
FGFR1,AD,GOF,Kinase
FGFR1,AD,GOF,Nucleic Acid Binding
FGFR1,AD,GOF,Receptor
FGFR1,AD,GOF,Signaling Molecule
FGFR1,AD,GOF,Transferase
FGFR2,AD,GOF,Kinase
FGFR2,AD,GOF,Receptor
FGFR2,AD,GOF,Signaling Molecule
FGFR2,AD,GOF,Transferase
FGG,AR,AR,Signaling Molecule
FLCN,AD,HI,Cell Junction Protein
FOLR1,AR,AR,Receptor
FOLR1,AR,AR,Transporter
FOXC2,AD,GOF,Nucleic Acid Binding
FOXC2,AD,GOF,Transcription Factor
FOXP1,AD,DN,Nucleic Acid Binding
FOXP1,AD,DN,Transcription Factor
FSHB,AR,AR,Signaling Molecule
FTO,AR,AR,Oxidoreductase
FUS,AD,GOF,Nucleic Acid Binding
FUS,AD,GOF,Transcription Factor
FXN,AR,AR,Kinase
FXN,AR,AR,Transferase
FXN,AR,AR,Transporter
FXYD2,AD,DN,Enzyme Modulator
FXYD2,AD,DN,Transporter
FZD4,AD,HI,Enzyme Modulator
FZD4,AD,HI,Receptor
FZD4,AD,HI,Signaling Molecule
GAA,AR,AR,Hydrolase
GALE,AR,AR,Isomerase
GALK1,AR,AR,Kinase
GALK1,AR,AR,Transferase
GALNS,AR,AR,Hydrolase
GALNT2,AR,AR,Transferase
GALT,AR,AR,Transferase
GAMT,AR,AR,Transferase
GAN,AR,AR,Cytoskeletal Protein
GATA4,AD,HI,Nucleic Acid Binding
GATA4,AD,HI,Transcription Factor
GBA,AR,AR,Hydrolase
GBE1,AR,AR,Hydrolase
GCDH,AR,AR,Oxidoreductase
GCDH,AR,AR,Transferase
GFER,AR,AR,Oxidoreductase
GHRHR,AR,AR,Receptor
GHRHR,AR,AR,Signaling Molecule
GINS1,AR,AR,Nucleic Acid Binding
GLB1,AR,AR,Hydrolase
GLRX5,AR,AR,Transporter
GLUD1,AD,GOF,Oxidoreductase
GLUL,AR,AR,Ligase
GM2A,AR,AR,Transfer/Carrier Protein
GNMT,AR,AR,Transferase
GNPTAB,AR,AR,Transferase
GP1BB,AR,AR,Cell Adhesion Molecule
GP1BB,AR,AR,Extracellular Matrix Protein
GPD1,AR,AR,Oxidoreductase
GPI,AR,AR,Isomerase
GPT2,AR,AR,Transferase
GRHPR,AR,AR,Oxidoreductase
GRIN2A,AD,DN,Receptor
GRIN2A,AD,DN,Transporter
GRM7,AR,AR,Receptor
GSR,AR,AR,Oxidoreductase
GSS,AR,AR,Ligase
GTF2E2,AR,AR,Transcription Factor
GUSB,AR,AR,Hydrolase
GYG1,AR,AR,Transferase
HADH,AR,AR,Oxidoreductase
HCN4,AD,DN,Transporter
HERC2,AR,AR,Enzyme Modulator
HERC2,AR,AR,Nucleic Acid Binding
HEXA,AR,AR,Hydrolase
HEXB,AR,AR,Hydrolase
HFE,AR,AR,Defense/Immunity protein
HGD,AR,AR,Oxidoreductase
HIBCH,AR,AR,Isomerase
HIBCH,AR,AR,Ligase
HIBCH,AR,AR,Lyase
HIBCH,AR,AR,Oxidoreductase
HIBCH,AR,AR,Transferase
HIKESHI,AR,AR,Chaperone
HIKESHI,AR,AR,Transfer/Carrier Protein
HINT1,AR,AR,Hydrolase
HINT1,AR,AR,Phosphatase
HMBS,AD,HI,Hydrolase
HMGCL,AR,AR,Lyase
HMGCL,AR,AR,Transferase
HMGCS2,AR,AR,Lyase
HMGCS2,AR,AR,Transferase
HNF1B,AD,HI,Nucleic Acid Binding
HNF1B,AD,HI,Transcription Factor
HNMT,AR,AR,Transferase
HOGA1,AR,AR,Lyase
HOXA13,AD,GOF,Cell Junction Protein
HOXA13,AD,GOF,Cytoskeletal Protein
HOXA13,AD,GOF,Nucleic Acid Binding
HOXA13,AD,GOF,Transcription Factor
HOXB1,AR,AR,Nucleic Acid Binding
HOXB1,AR,AR,Transcription Factor
HPCA,AR,AR,Calcium-Binding Protein
HPGD,AR,AR,Oxidoreductase
HRAS,AD,GOF,Enzyme Modulator
HSD11B1,AD,DN,Oxidoreductase
HSD17B4,AR,AR,Oxidoreductase
IDH3A,AR,AR,Oxidoreductase
IDUA,AR,AR,Hydrolase
IFIH1,AD,GOF,Hydrolase
IFIH1,AD,GOF,Nucleic Acid Binding
IFNGR2,AR,AR,Defense/Immunity protein
IFNGR2,AR,AR,Receptor
IGF1,AR,AR,Signaling Molecule
IGHMBP2,AR,AR,Hydrolase
IGHMBP2,AR,AR,Nucleic Acid Binding
IL10RA,AR,AR,Defense/Immunity protein
IL10RA,AR,AR,Receptor
IL17RA,AR,AR,Receptor
IL17RA,AR,AR,Signaling Molecule
IL21,AR,AR,Signaling Molecule
IL2RA,AR,AR,Receptor
IL36RN,AR,AR,Signaling Molecule
IL7R,AR,AR,Receptor
INPP5E,AR,AR,Phosphatase
INPPL1,AR,AR,Phosphatase
ITGB2,AR,AR,Cell Adhesion Molecule
ITGB2,AR,AR,Extracellular Matrix Protein
ITGB2,AR,AR,Receptor
ITGB6,AR,AR,Cell Adhesion Molecule
ITGB6,AR,AR,Extracellular Matrix Protein
ITGB6,AR,AR,Receptor
ITPA,AR,AR,Hydrolase
ITPA,AR,AR,Phosphatase
IYD,AR,AR,Oxidoreductase
JAG1,AD,HI,Extracellular Matrix Protein
JAG1,AD,HI,Receptor
JAG1,AD,HI,Signaling Molecule
JAK1,AD,GOF,Kinase
KANK2,AR,AR,Transcription Factor
KCNE2,AD,GOF,Transporter
KCNH2,AD,DN,Transporter
KCNQ2,AD,DN,Transporter
KIF7,AR,AR,Cytoskeletal Protein
KITLG,AD,GOF,Enzyme Modulator
KITLG,AD,GOF,Signaling Molecule
KLHL40,AR,AR,Receptor
KLHL40,AR,AR,Transcription Factor
KLKB1,AR,AR,Hydrolase
KLKB1,AR,AR,Protease
